2021-01-18 21:30:34,197 INFO    MainThread:3962843 [wandb_setup.py:_flush():70] setting env: {}
2021-01-18 21:30:34,198 INFO    MainThread:3962843 [wandb_setup.py:_flush():70] multiprocessing start_methods=fork,spawn,forkserver
2021-01-18 21:30:34,198 INFO    MainThread:3962843 [wandb_setup.py:_flush():70] setting login settings: {}
2021-01-18 21:30:34,198 INFO    MainThread:3962843 [wandb_init.py:_log_setup():318] Logging user logs to /home/whiteashes/Project/FedML/fedml_experiments/standalone/fedprox/wandb/run-20210118_213034-2b8r77ld/logs/debug.log
2021-01-18 21:30:34,198 INFO    MainThread:3962843 [wandb_init.py:_log_setup():319] Logging internal logs to /home/whiteashes/Project/FedML/fedml_experiments/standalone/fedprox/wandb/run-20210118_213034-2b8r77ld/logs/debug-internal.log
2021-01-18 21:30:35,902 INFO    MainThread:3962843 [wandb_run.py:_console_start():1308] atexit reg
2021-01-18 21:30:35,902 INFO    MainThread:3962843 [wandb_run.py:_redirect():1175] redirect: SettingsConsole.REDIRECT
2021-01-18 21:30:35,902 INFO    MainThread:3962843 [wandb_run.py:_redirect():1178] Redirecting console.
2021-01-18 21:30:35,902 INFO    MainThread:3962843 [redirect.py:install():205] install start
2021-01-18 21:30:35,902 INFO    MainThread:3962843 [redirect.py:install():220] install stop
2021-01-18 21:30:35,902 INFO    MainThread:3962843 [redirect.py:install():205] install start
2021-01-18 21:30:35,903 INFO    MainThread:3962843 [redirect.py:install():220] install stop
2021-01-18 21:30:35,903 INFO    MainThread:3962843 [wandb_run.py:_redirect():1222] Redirects installed.
